Month,vol-09-10,vol-10-11,vol-11-12,vol-12-13,vol-13-14,vol-14-15,vol-15-16,vol-16-17,vol-17-18,vol-18-19,vol-19-20,vol-20-21,vol-21-22
Apr,,,,"2,670","2,712","2,152","2,271","2,267","2,394","2,429","3,380",897,"1,691"
May,,,,"3,041","2,691","2,201","2,348","2,548","2,575","2,666","3,084","1,037","1,933"
Jun,,,,"2,845","2,666","2,368","2,473","2,603","2,666","2,624","3,656","1,320","1,998"
Jul,,,,"3,143","2,762","2,350","2,503","2,546","2,881","2,787","3,255","1,791","2,239"
Aug,,,,"2,667","2,629","2,024","2,329","2,583","2,431","2,492","2,856","1,859","1,981"
Sept,,,,"2,509","2,523","2,442","2,348","2,465","2,503","2,574","2,930","2,262","2,519"
Oct,,,,"3,105","2,720","2,572","2,623","2,595","2,908","3,013","3,717","2,262","2,794"
Nov,,,,"3,258","2,466","2,462","2,819","2,880","3,040","3,126","3,784","1,907","2,926"
Dec,,,,"2,865","2,241","2,467","2,597","2,526","2,715","3,354","4,217","1,670","2,605"
Jan,,,,"2,794","2,445","2,389","2,628","2,328","2,636","3,084","3,725","1,103","2,520"
Feb,,,,"2,660","2,291","2,153","2,429","2,345","2,652","3,086","3,566","1,164","2,469"
Mar,,,,"2,953","2,472","2,574","2,668","2,917","2,870","3,770","2,706","1,661","3,071"
