car name,displacement,horsepower,weight,acceleration,model year,origin,cylinders,mpg
chevrolet chevelle malibu,307,130,3504,12,70,1,8,18
buick skylark 320,350,165,3693,11.5,70,1,8,15
plymouth satellite,318,150,3436,11,70,1,8,18
amc rebel sst,304,150,3433,12,70,1,8,16
ford torino,302,140,3449,10.5,70,1,8,17
ford galaxie 500,429,198,4341,10,70,1,8,15
chevrolet impala,454,220,4354,9,70,1,8,14
plymouth fury iii,440,215,4312,8.5,70,1,8,14
pontiac catalina,455,225,4425,10,70,1,8,14
amc ambassador dpl,390,190,3850,8.5,70,1,8,15
dodge challenger se,383,170,3563,10,70,1,8,15
plymouth 'cuda 340,340,160,3609,8,70,1,8,14
chevrolet monte carlo,400,150,3761,9.5,70,1,8,15
buick estate wagon (sw),455,225,3086,10,70,1,8,14
toyota corona mark ii,113,95,2372,15,70,3,4,24
plymouth duster,198,95,2833,15.5,70,1,6,22
amc hornet,199,97,2774,15.5,70,1,6,18
ford maverick,200,85,2587,16,70,1,6,21
datsun pl510,97,88,2130,14.5,70,3,4,27
volkswagen 1131 deluxe sedan,97,46,1835,20.5,70,2,4,26
peugeot 504,110,87,2672,17.5,70,2,4,25
audi 100 ls,107,90,2430,14.5,70,2,4,24
saab 99e,104,95,2375,17.5,70,2,4,25
bmw 2002,121,113,2234,12.5,70,2,4,26
amc gremlin,199,90,2648,15,70,1,6,21
ford f250,360,215,4615,14,70,1,8,10
chevy c20,307,200,4376,15,70,1,8,10
dodge d200,318,210,4382,13.5,70,1,8,11
hi 1200d,304,193,4732,18.5,70,1,8,9
datsun pl510,97,88,2130,14.5,71,3,4,27
chevrolet vega 2300,140,90,2264,15.5,71,1,4,28
toyota corona,113,95,2228,14,71,3,4,25
ford pinto,98,?,2046,19,71,1,4,25
amc gremlin,232,100,2634,13,71,1,6,19
plymouth satellite custom,225,105,3439,15.5,71,1,6,16
chevrolet chevelle malibu,250,100,3329,15.5,71,1,6,17
ford torino 500,250,88,3302,15.5,71,1,6,19
amc matador,232,100,3288,15.5,71,1,6,18
chevrolet impala,350,165,4209,12,71,1,8,14
pontiac catalina brougham,400,175,4464,11.5,71,1,8,14
ford galaxie 500,351,153,4154,13.5,71,1,8,14
plymouth fury iii,318,150,4096,13,71,1,8,14
dodge monaco (sw),383,180,4955,11.5,71,1,8,12
ford country squire (sw),400,170,4746,12,71,1,8,13
pontiac safari (sw),400,175,5140,12,71,1,8,13
amc hornet sportabout (sw),258,110,2962,13.5,71,1,6,18
chevrolet vega (sw),140,72,2408,19,71,1,4,22
pontiac firebird,250,100,3282,15,71,1,6,19
